id,date,state,city,killed,injured,inc_url,eve_url,latitude,longitude
361198,2015-06-20,Pennsylvania,Philadelphia,0,11,http://gunviolencearchive.org/incident/361198,http://www.nbcphiladelphia.com/news/local/Shooters-Identified-in-Block-Party-Shotgun-Shooting-That-Hurt-10-Including-Children-310193121.html,39.9692,-75.2059
361014,2015-06-19,Rhode Island,Woonsocket,0,4,http://gunviolencearchive.org/incident/361014,http://m.providencejournal.com/article/20150619/NEWS/150619206/14110,42.0004,-71.5177
359830,2015-06-17,South Carolina,Charleston,9,0,http://gunviolencearchive.org/incident/359830,http://7online.com/news/charleston-shooting-suspect-tried-killing-self-after-shooting-victims-son-says/797301/,32.7876,-79.9332
359215,2015-06-16,Florida,Miami Gardens,0,4,http://gunviolencearchive.org/incident/359215,http://www.nbcmiami.com/news/local/Four-People-Shot-in-Miami-Gardens-Police-307722511.html,25.9367,-80.2109
358117,2015-06-15,New York,Brooklyn,0,4,http://gunviolencearchive.org/incident/358117,http://www.nydailynews.com/new-york/nyc-crime/4-shot-1-slashed-brooklyn-bar-sources-article-1.2258318,40.6568,-73.9598
357667,2015-06-14,Oklahoma,Tulsa,0,4,http://gunviolencearchive.org/incident/357667,http://www.tulsaworld.com/news/crimewatch/four-hospitalized-in-overnight-shooting-at-north-tulsa-party/article_cdb02e7a-c686-58c0-971a-3638aff44fd7.html,36.1809,-95.9096
357611,2015-06-14,Missouri,Saint Louis,0,4,http://gunviolencearchive.org/incident/357611,http://www.stltoday.com/news/local/crime-and-courts/four-teens-shot-after-party-in-st-louis/article_998053df-ce00-5ecc-b4be-0e779b1de91a.html,38.648,-90.1962
357597,2015-06-14,New Jersey,Camden,1,3,http://gunviolencearchive.org/incident/357597,http://6abc.com/news/1-dead-3-wounded-in-camden-shooting/783893/,39.9493,-75.087
357732,2015-06-13,Georgia,Fayetteville,1,4,http://gunviolencearchive.org/incident/357732,http://www.ajc.com/news/news/crime-law/arrest-made-in-homicide-following-fayette-pool-par/nmgzk/,33.5328,-84.4548
357164,2015-06-13,Ohio,Columbus,4,1,http://gunviolencearchive.org/incident/357164,http://wdtn.com/2015/12/23/16-year-old-charged-in-4-slayings-at-ohio-home-in-june-arraignment-scheduled/,40.0134,-82.9664
357770,2015-06-13,Georgia,Milledgeville,1,3,http://gunviolencearchive.org/incident/357770,http://www.macon.com/2015/06/14/3796263_one-killed-three-wounded-in-shooting.html?rh=1,33.0838,-83.2449
357701,2015-06-13,New York,Bronx,0,5,http://gunviolencearchive.org/incident/357701,http://www.nbcnewyork.com/news/local/Suspect-Sought-5-Shot-Bronx-NYPD-307540851.html,40.8607,-73.8996
357590,2015-06-13,Oklahoma,Oklahoma City,0,4,http://gunviolencearchive.org/incident/357590,http://www.okcfox.com/story/29315672/four-injured-in-drive-by-shooting-2-arrested,35.3951,-97.5033
357220,2015-06-12,Florida,Allapattah,0,4,http://gunviolencearchive.org/incident/357220,http://www.nbcmiami.com/news/local/At-Least-1-Shot-in-Allapattah-Club-Shooting-307106481.html,25.8092,-80.2361
356065,2015-06-11,Connecticut,Bridgeport,1,8,http://gunviolencearchive.org/incident/356065,http://www.wfsb.com/story/29940429/2-arrested-in-bridgeport-ambush-shooting-that-killed-1-injured-8,41.2212,-73.1964
355883,2015-06-11,Texas,Houston,1,3,http://gunviolencearchive.org/incident/355883,http://www.khou.com/story/news/crime/2015/06/11/third-ward-quadruple-shooting-early-thursday/71052310/,29.7282,-95.3578
355644,2015-06-10,California,Los Angeles,1,3,http://gunviolencearchive.org/incident/355644,http://www.nbclosangeles.com/news/local/One-Dead-Two-Critical-in-Shooting-in-South-LA-306822421.html,33.9579,-118.292
355267,2015-06-09,Missouri,Saint Louis,1,3,http://gunviolencearchive.org/incident/355267,http://www.kmov.com/story/29279620/2-people-shot-in-north-st-louis,38.652,-90.2256
353854,2015-06-07,Montana,Deer Lodge,5,0,http://gunviolencearchive.org/incident/353854,http://www.spokesman.com/stories/2015/jun/14/family-friends-mourn-montana-murder-suicide/,46.3991,-112.738
353536,2015-06-06,New York,Buffalo,1,4,http://gunviolencearchive.org/incident/353536,http://wivb.com/2015/06/06/buffalo-police-investigate-triple-shooting/,42.8361,-78.7502
353037,2015-06-06,Illinois,Chicago,0,5,http://gunviolencearchive.org/incident/353037,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150605-story.html,41.8823,-87.7588
353382,2015-06-05,Iowa,Davenport,0,5,http://gunviolencearchive.org/incident/353382,http://www.kcrg.com/subject/news/5-people-shot-in-davenport-police-investigating-20150607,41.5224,-90.5859
352779,2015-06-05,Louisiana,New Orleans,1,3,http://gunviolencearchive.org/incident/352779,http://www.nola.com/crime/index.ssf/2015/06/treme_quadruple_shooting_victi.html#incart_river,29.9653,-90.0658
351936,2015-06-03,New York,Wyandanch,3,1,http://gunviolencearchive.org/incident/351936,http://7online.com/news/3-dead-after-shooting-on-long-island/765774/,40.7403,-73.3626
350163,2015-05-31,Ohio,Cleveland,3,1,http://gunviolencearchive.org/incident/350163,http://www.newsnet5.com/news/local-news/cleveland-metro/woman-who-lost-father-daughter-in-deadly-shooting-speaks-out,41.4366,-81.8117
350021,2015-05-31,Maryland,Springdale,1,3,http://gunviolencearchive.org/incident/350021,http://www.nbcwashington.com/news/local/One-Dead-Three-Injured-in-Shooting-at-Prince-George-Co-Park-305617831.html,38.9376,-76.8467
349976,2015-05-31,Connecticut,New Haven,0,5,http://gunviolencearchive.org/incident/349976,http://www.nbcconnecticut.com/news/local/Man-Charged-in-New-Haven-Party-Shooting-307023031.html,41.306,-72.9251
350182,2015-05-31,Georgia,Conyers,3,2,http://gunviolencearchive.org/incident/350182,http://www.covnews.com/section/1/article/59620/,33.5642,-84.0155
349289,2015-05-30,California,San Diego,0,4,http://gunviolencearchive.org/incident/349289,http://www.cbs8.com/story/29196990/4-shot-at-bar-swat-standoff-underway,32.7115,-117.105
348606,2015-05-28,Nebraska,Omaha,0,4,http://gunviolencearchive.org/incident/348606,http://www.ketv.com/news/4-hurt-in-thursday-night-shooting/33277800,41.2053,-96.0441
348620,2015-05-28,Illinois,Chicago,0,5,http://gunviolencearchive.org/incident/348620,http://www.dnainfo.com/chicago/20150529/west-englewood/toddler-among-five-wounded-west-englewood-shooting-police-say,41.7812,-87.6703
348673,2015-05-28,Pennsylvania,Chester,1,3,http://gunviolencearchive.org/incident/348673,http://www.nbcphiladelphia.com/news/local/14-Year-Old-Among-Victims-in-Chester-Quadruple-Shooting-305441301.html,39.8325,-75.3902
346725,2015-05-26,Louisiana,New Orleans,2,2,http://gunviolencearchive.org/incident/346725,http://www.ksla.com/story/29153853/2-dead-2-wounded-in-new-orleans-shooting,30.0289,-89.9846
346097,2015-05-25,Illinois,Decatur,1,4,http://gunviolencearchive.org/incident/346097,http://www.wandtv.com/story/29147832/person-shot-killed,39.8608,-88.9547
345749,2015-05-24,Michigan,Flint,0,7,http://gunviolencearchive.org/incident/345749,http://www.mlive.com/news/flint/index.ssf/2015/05/two_men_charged_in_shooting_at.html#incart_river,42.9944,-83.7044
345681,2015-05-24,Massachusetts,Brockton,0,5,http://gunviolencearchive.org/incident/345681,http://www.enterprisenews.com/article/20150615/NEWS/150617718/0/breaking_ajax,42.0656,-71.016
346320,2015-05-24,Alabama,Montgomery,1,3,http://gunviolencearchive.org/incident/346320,http://www.wsfa.com/story/29146971/4th-suspect-charged-in-connection-to-may-24-smiley-court-shooting,32.3344,-86.3523
346179,2015-05-24,Missouri,Saint Louis,0,4,http://gunviolencearchive.org/incident/346179,http://www.connectmidmissouri.com/news/story.aspx?list=196407&id=1209063#.VWON90YpDIU,38.6419,-90.2144
346202,2015-05-23,California,Fresno,2,2,http://gunviolencearchive.org/incident/346202,http://www.fresnobee.com/news/local/crime/article22193589.html,36.7142,-119.759
344302,2015-05-20,Maryland,Baltimore,1,4,http://gunviolencearchive.org/incident/344302,http://www.baltimoresun.com/news/maryland/crime/blog/bs-md-ci-homicide-rapper-20150522-story.html,39.3718,-76.5364
343106,2015-05-18,Missouri,Kinloch,0,4,http://gunviolencearchive.org/incident/343106,http://www.kmov.com/story/29099207/two-hospitalized-after-late-night-shooting-in-kinloch,38.7449,-90.3191
342589,2015-05-18,Florida,Miami,1,4,http://gunviolencearchive.org/incident/342589,http://www.nbcmiami.com/news/local/Multiple-People-Shot-1-Dead-in-NW-Miami-Dade-Police-304198751.html,25.8429,-80.2243
341622,2015-05-17,Texas,Waco,9,18,http://gunviolencearchive.org/incident/341622,http://www.kwtx.com/news/local/headlines/Waco-Shooting-Near-Twin-Peaks-In-Waco-304043711.html,31.5188,-97.1354
341465,2015-05-16,Wisconsin,Milwaukee,0,5,http://gunviolencearchive.org/incident/341465,http://fox6now.com/2015/05/26/three-men-with-prior-convictions-charged-in-connection-with-kendrai-walkers-death-shooting-at-his-vigil/,43.077,-87.9485
341162,2015-05-16,New York,Rochester,0,4,http://gunviolencearchive.org/incident/341162,http://www.democratandchronicle.com/story/news/2015/12/03/rochester-tops-upstate-mass-shootings/76715490/,43.1647,-77.5947
341232,2015-05-16,Maryland,Baltimore,0,5,http://gunviolencearchive.org/incident/341232,http://www.wbaltv.com/news/2-men-2-women-shot-in-baltimore-police-say/33062884,39.3097,-76.5954
340280,2015-05-12,Maryland,Capitol Heights,1,4,http://gunviolencearchive.org/incident/340280,http://www.washingtonpost.com/local/crime/one-person-dead-after-homicide-in-prince-georges-county/2015/05/13/0f49fd38-f95a-11e4-9ef4-1bb7ce3b3fb7_story.html,38.8706,-76.9262
339229,2015-05-12,Arizona,Tucson,5,0,http://gunviolencearchive.org/incident/339229,http://www.scrippsmedia.com/kgun9/news/Murder-suicide-on-southside-multiple-victims-303547701.html,32.1299,-111.066
337855,2015-05-10,Ohio,Cleveland,1,4,http://gunviolencearchive.org/incident/337855,http://www.cleveland.com/metro/index.ssf/2015/07/cleveland_man_charged_in_payba.html#incart_river,41.4544,-81.7645
338034,2015-05-10,New Jersey,Jersey City,0,4,http://gunviolencearchive.org/incident/338034,http://www.nj.com/hudson/index.ssf/2015/05/4_women_shot_on_jersey_city_street_5_charged_with.html#incart_river,40.7075,-74.0808
337767,2015-05-10,New Jersey,Newark,1,3,http://gunviolencearchive.org/incident/337767,http://newyork.cbslocal.com/2015/05/15/newark-mothers-day-shooting-arrest/,40.7314,-74.2099
335903,2015-05-07,Ohio,Cincinnati,0,4,http://gunviolencearchive.org/incident/335903,http://www.wlwt.com/news/cpd-investigating-quadruple-shooting-on-baltimore-avenue/32867572,39.1497,-84.5615
334681,2015-05-04,New York,Buffalo,1,3,http://gunviolencearchive.org/incident/334681,http://www.buffalonews.com/city-region/police-identify-teen-fatally-shot-last-week-on-roosevelt-avenue-20150511,42.934,-78.8098
334033,2015-05-03,Indiana,South Bend,0,4,http://gunviolencearchive.org/incident/334033,http://www.southbendtribune.com/news/publicsafety/south-bend-police-looking-for-suspects-in-weekend-gunfight/article_6c8972d2-f29b-11e4-b27d-8ba8150ab76f.html,41.6578,-86.256
333750,2015-05-03,Wisconsin,Menasha,4,1,http://gunviolencearchive.org/incident/333750,http://fox6now.com/2015/06/11/released-menasha-police-issue-final-report-on-trestle-trail-bridge-shooting/,0,0
333584,2015-05-03,Texas,Houston,0,6,http://gunviolencearchive.org/incident/333584,http://www.khou.com/story/news/local/2015/05/03/mass-shooting-at-houston-nightclub-six-injured/26826747/,29.7406,-95.3753
334047,2015-05-03,New York,Bronx,0,4,http://gunviolencearchive.org/incident/334047,http://nypost.com/2015/05/04/daily-blotter-512/,40.8447,-73.9228
333576,2015-05-03,Ohio,Dayton,1,6,http://gunviolencearchive.org/incident/333576,http://www.whio.com/news/news/crime-law/multiple-people-shot-on-macarthur-ave-in-dayton/nk74C/#__federated=1,39.7317,-84.2512
332732,2015-05-01,Wisconsin,Milwaukee,2,3,http://gunviolencearchive.org/incident/332732,http://www.cbs58.com/story/29180652/second-suspect-charged-in-double-homicide-at-37th-and-nash-street,43.0845,-87.9593
330611,2015-04-27,New York,Brooklyn,2,4,http://gunviolencearchive.org/incident/330611,http://www.sfgate.com/news/crime/article/NYPD-Man-arrested-in-fatal-shooting-outside-6603104.php,40.6378,-73.9525
330750,2015-04-27,Arizona,Gila Bend,2,2,http://gunviolencearchive.org/incident/330750,http://azdailysun.com/news/state-and-regional/mcso-people-dead-wounded-in-shooting-east-of-gila-bend/article_858544a6-fbd7-592c-8c5a-141c79e7836a.html,32.949,-112.707
329463,2015-04-25,New Jersey,Trenton,0,4,http://gunviolencearchive.org/incident/329463,http://www.nj.com/mercer/index.ssf/2015/04/4_shot_in_trenton_early_saturday_night_police_say.html#incart_river,40.2218,-74.7606
